Repositorio,Criado Em,Estrelas,Tags
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,541198,0
sindresorhus/awesome,2014-07-11T13:42:37Z,497736,0
public-apis/public-apis,2016-03-20T23:49:42Z,465647,0
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,454326,0
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,394775,0
openclaw/openclaw,2025-11-24T10:16:47Z,386788,352
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,364930,4
donnemartin/system-design-primer,2017-02-26T16:15:28Z,364874,0
jwasham/coding-interview-university,2016-06-06T02:34:12Z,359224,0
vinta/awesome-python,2014-06-27T21:00:06Z,314906,0
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,313700,1
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,279919,0
996icu/996.ICU,2019-03-26T07:31:14Z,276723,0
obra/superpowers,2025-10-09T19:45:18Z,274090,34
react/react,2013-05-24T16:15:54Z,247417,174
torvalds/linux,2011-09-04T22:48:12Z,243308,943
affaan-m/ECC,2026-01-18T00:51:51Z,241118,16
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,239159,0
NousResearch/hermes-agent,2025-07-22T22:22:28Z,232942,34
TheAlgorithms/Python,2016-07-16T09:44:01Z,223874,0
mattpocock/skills,2026-02-03T11:15:53Z,223255,7
vuejs/vue,2013-07-29T03:24:51Z,210236,291
ossu/computer-science,2014-05-04T00:18:39Z,208169,5
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,203869,0
n8n-io/n8n,2019-06-22T09:24:21Z,201190,2119
anomalyco/opencode,2025-04-30T20:08:00Z,199133,1090
tensorflow/tensorflow,2015-11-07T01:19:20Z,197066,226
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,196527,0
ultraworkers/claw-code,2026-03-31T08:58:08Z,195086,0
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,194308,0
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,189268,0
microsoft/vscode,2015-09-03T20:23:38Z,188932,385
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,187572,31
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,186687,119
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,185592,139
CyC2018/CS-Notes,2018-02-13T14:56:24Z,185496,0
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,185379,0
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,184712,0
avelino/awesome-go,2014-07-06T13:42:15Z,181541,0
ollama/ollama,2023-06-26T19:39:32Z,178967,630
flutter/flutter,2015-03-06T22:54:58Z,178496,1107
github/gitignore,2010-11-08T20:17:14Z,175376,0
microsoft/markitdown,2024-11-13T19:56:40Z,174666,22
twbs/bootstrap,2011-07-29T21:19:00Z,174614,94
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,171772,68
anthropics/skills,2025-09-22T15:53:31Z,170441,0
firecrawl/firecrawl,2024-04-15T21:02:29Z,169517,296
f/prompts.chat,2022-12-05T13:54:13Z,167566,0
deepseek-ai/deepseek-harness,2026-08-13T11:56:32Z,166182,2
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,164583,36
huggingface/transformers,2018-10-29T13:56:00Z,164259,286
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,162126,0
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,157888,0
langflow-ai/langflow,2023-02-08T22:28:03Z,153472,1123
langgenius/dify,2023-04-12T07:40:24Z,152912,176
open-webui/open-webui,2023-10-06T22:08:27Z,149247,167
airbnb/javascript,2012-11-01T23:13:50Z,148131,102
Genymobile/scrcpy,2017-11-21T18:00:27Z,147919,62
msitarzewski/agency-agents,2025-10-13T12:12:29Z,146260,0
langchain-ai/langchain,2022-10-17T02:58:36Z,144571,1338
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,142929,0
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,142002,1
anthropics/claude-code,2025-02-22T17:41:21Z,141996,194
vercel/next.js,2016-10-05T23:32:51Z,141868,4011
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,140975,1120
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,138847,121
microsoft/PowerToys,2019-05-01T17:44:02Z,137883,144
iptv-org/iptv,2018-11-14T22:00:57Z,136185,0
golang/go,2014-08-19T04:33:40Z,135906,493
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,135384,3
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,133228,0
ripienaar/free-for-dev,2015-03-18T21:06:26Z,132201,0
github/spec-kit,2025-08-21T22:54:31Z,130289,215
excalidraw/excalidraw,2020-01-02T01:04:43Z,130022,21
krahets/hello-algo,2022-11-04T11:08:34Z,129482,10
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,128743,14
garrytan/gstack,2026-03-11T21:22:45Z,128708,0
Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,128438,179
farion1231/cc-switch,2025-08-04T14:16:16Z,128278,52
react/react-native,2015-01-09T18:10:16Z,126366,687
ggml-org/llama.cpp,2023-03-10T18:58:00Z,124695,7122
kubernetes/kubernetes,2014-06-06T22:56:04Z,124601,1240
electron/electron,2013-04-12T01:47:36Z,122578,3755
shadcn-ui/ui,2023-01-04T12:43:27Z,121648,118
rustdesk/rustdesk,2020-09-28T15:36:08Z,121252,39
nodejs/node,2014-11-26T19:57:11Z,119017,954
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,118625,0
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,118400,3
nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30T11:36:31Z,118179,49
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,118097,0
godotengine/godot,2014-01-04T16:05:36Z,115873,79
rust-lang/rust,2010-06-16T20:39:03Z,115610,161
mrdoob/three.js,2010-03-23T18:58:01Z,114613,177
2dust/v2rayN,2019-07-30T03:47:24Z,114221,336
d3/d3,2010-09-27T17:22:42Z,113496,302
immich-app/immich,2022-02-03T15:56:27Z,111703,327
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,111430,15
tauri-apps/tauri,2019-07-13T09:09:37Z,110363,1810
microsoft/TypeScript,2014-06-17T15:28:39Z,110208,237
harry0703/MoneyPrinterTurbo,2024-03-11T02:57:34Z,110130,17
